name,price,image,date
"Apple iPhone XR, US Version, 128GB, Blue - Unlocked (Renewed)",244,"<img src=""https://m.media-amazon.com/images/I/41ndBTiQIyL._AC_UY218_.jpg"" width=""60"">",2023012521
"Apple iPhone 13 Pro Max, 512GB, Sierra Blue - Unlocked (Renewed)",1159,"<img src=""https://m.media-amazon.com/images/I/51UuPZLMaCL._AC_UY218_.jpg"" width=""60"">",2023012521
"Apple iPhone 13 Pro, 1TB, Graphite - Unlocked (Renewed)",949,"<img src=""https://m.media-amazon.com/images/I/51UtM-A3fdL._AC_UY218_.jpg"" width=""60"">",2023012521
"Samsung Galaxy A02s Smartphone, 32GB Storage, Factory Unlocked - Black (Renewed)",98,"<img src=""https://m.media-amazon.com/images/I/61upc4T9AHS._AC_UY218_.jpg"" width=""60"">",2023012521
